article,go_term,count,dbName,dbId
PMC3915084,"Growth",22,,0040007
PMC3915084,"mucous",2,,0070701
PMC3915084,"membranes",2,,0016020
PMC3915084,"secretions",1,,0046903
PMC3915084,"cells",1,,0005623
PMC3920264,"formation",9,,0009058
PMC3920264,"uptake",2,,0098657
PMC3920264,"protein synthesis",1,,0006412
PMC3920264,"fermentation",1,,0006113
PMC3953398,"cell",2,,0005623
PMC3953398,"hood",1,,1990343
PMC3953398,"memory",1,,0007613
PMC3953398,"transport",1,,0006810
PMC3953398,"drug transport",1,,0015893
PMC3954529,"Synthesis",3,,0009058
PMC3954529,"cell",2,,0005623
PMC3954529,"antioxidant activity",1,,0016209
PMC3961117,"growth",11,,0040007
PMC3961117,"cells",6,,0005623
PMC3961117,"cytoplasmic membrane",4,,0005886
PMC3961117,"membrane",3,,0016020
PMC3961117,"ribosome",2,,0005840
PMC3961117,"metabolism",1,,0008152
PMC3961117,"cell division",1,,0051301
PMC3961117,"cell death",1,,0008219
PMC3977348,"cells",173,,0005623
PMC3977348,"cell cycle",18,,0007049
PMC3977348,"neurogenesis",15,,0022008
PMC3977348,"memory",13,,0007613
PMC3977348,"antibodies",13,,0042571
PMC3977348,"habituation",10,,0046959
PMC3977348,"dishabituation",7,,0097270
PMC3977348,"signaling",4,,0023052
PMC3977348,"binding",4,,0005488
PMC3977348,"learning",2,,0007612
PMC3977348,"olfactory behavior",1,,0042048
PMC3977348,"mitosis",1,,0007067
PMC3977348,"digestion",1,,0007586
PMC3977348,"nucleus",1,,0005634
PMC3977348,"intracellular",1,,0005622
PMC3977348,"Neuroblast migration",1,,0097402
PMC3977348,"behaviors",1,,0007610
PMC4005389,"olfaction",8,,0007608
PMC4005389,"nociception",5,,0019233
PMC4005389,"reproduction",2,,0000003
PMC4005389,"cells",1,,0005623
PMC4005389,"translation",1,,0006412
PMC4005389,"calcium signaling",1,,0019722
PMC4005389,"hypersensitivity",1,,0002524
PMC4005389,"chromosome",1,,0005694
PMC4005389,"responses to pain",1,,0048265
PMC4005389,"localization",1,,0051179
PMC4007251,"degradation",2,,0009056
PMC4007251,"behaviour",2,,0007610
PMC4011571,"synthesis",10,,0009058
PMC4015331,"formation",2,,0009058
PMC4015331,"cell",1,,0005623
PMC4015331,"behaviour",1,,0007610
PMC4017146,"olfaction",2,,0007608
PMC4017146,"learning",2,,0007612
PMC4017146,"degradation",1,,0009056
PMC4017146,"social behavior",1,,0035176
PMC4065700,"growth",13,,0040007
PMC4065700,"cell",8,,0005623
PMC4065700,"membrane",6,,0016020
PMC4065700,"cell membrane",4,,0005886
PMC4065700,"degradation",3,,0009056
PMC4065700,"pores",3,,0046930
PMC4065700,"synthesis",2,,0009058
PMC4065700,"interphase",1,,0051325
PMC4065700,"intracellular",1,,0005622
PMC4065700,"iron-binding",1,,0005506
PMC4065700,"cell surface",1,,0009986
PMC4065700,"micropinocytosis",1,,0044350
PMC4065700,"endocytosis",1,,0006897
PMC4065700,"pore formation",1,,0046931
PMC4079982,"learning",19,,0007612
PMC4079982,"tastes",19,,0050909
PMC4079982,"behavior",6,,0007610
PMC4079982,"disc",4,,0031264
PMC4079982,"Olfaction",2,,0007608
PMC4079982,"habituation",2,,0046959
PMC4079982,"olfactory learning",1,,0008355
PMC4079982,"drinking behavior",1,,0042756
PMC4079982,"long-term memory",1,,0007616
PMC4079982,"formation",1,,0009058
PMC4079982,"responses to food",1,,0032094
PMC4097962,"degradation",12,,0009056
PMC4097962,"formation",9,,0009058
PMC4097962,"cell",6,,0005623
PMC4097962,"monoterpene metabolism",5,,0043692
PMC4097962,"growth",5,,0040007
PMC4097962,"mineralization",4,,0031214
PMC4097962,"detoxification",3,,0098754
PMC4097962,"pinene degradation",3,,0033074
PMC4097962,"limonene degradation",3,,0046251
PMC4097962,"transports",2,,0006810
PMC4097962,"membrane",2,,0016020
PMC4097962,"excretion",1,,0007588
PMC4097962,"efflux pumps",1,,1990281
PMC4097962,"p-cumate degradation",1,,1901782
PMC4097962,"metabolism",1,,0008152
PMC4097962,"monooxygenase activity",1,,0004497
PMC4097962,"Enzyme activities",1,,0003824
PMC4097962,"limonene metabolism",1,,0018923
PMC4097962,"leucine degradation",1,,0006552
PMC4097962,"terpenoid metabolism",1,,0006721
PMC4115348,"menstruation",9,,0042703
PMC4115348,"capsule",9,,0042603
PMC4115348,"menarche",2,,0042696
PMC4115348,"myometrial contractions",2,,0070471
PMC4115348,"menstrual cycles",2,,0044850
PMC4115348,"hypersensitivity",1,,0002524
PMC4115348,"digestion",1,,0007586
PMC4115348,"synthesis",1,,0009058
PMC4115348,"intracellular",1,,0005622
PMC4156257,"formation",2,,0009058
PMC4157029,"binding",1,,0005488
PMC4157029,"nervous system development",1,,0007399
PMC4157029,"behavior",1,,0007610
PMC4157029,"cognition",1,,0050890
PMC4157029,"metabolism",1,,0008152
PMC4161876,"cell",96,,0005623
PMC4161876,"antibody",15,,0042571
PMC4161876,"Gene Expression",12,,0010467
PMC4161876,"signaling",8,,0023052
PMC4161876,"synthesis",7,,0009058
PMC4161876,"localization",4,,0051179
PMC4161876,"Membrane",3,,0016020
PMC4161876,"intracellular",2,,0005622
PMC4161876,"behavior",2,,0007610
PMC4161876,"plasma membrane",2,,0005886
PMC4161876,"taste",2,,0050909
PMC4161876,"dopamine synthesis",1,,0042416
PMC4161876,"metabolism",1,,0008152
PMC4161876,"digestion",1,,0007586
PMC4161876,"Odorants binding",1,,0005549
PMC4161876,"axon",1,,0030424
PMC4161876,"growth cone",1,,0030426
PMC4161876,"binding",1,,0005488
PMC4161876,"olfaction",1,,0007608
PMC4161876,"chemotaxis",1,,0006935
PMC4161876,"regeneration",1,,0031099
PMC4161876,"cell adhesion",1,,0007155
PMC4161876,"axon guidance",1,,0007411
PMC4161876,"transcription factor binding",1,,0008134
PMC4161876,"signal transduction",1,,0007165
PMC4202545,"cells",1,,0005623
PMC4202545,"chloride channel complex",1,,0034707
PMC4202545,"glutamate binding",1,,0016595
PMC4204956,"cell growth",16,,0016049
PMC4204956,"growth",10,,0040007
PMC4204956,"cell",9,,0005623
PMC4204956,"quorum sensing",6,,0009372
PMC4204956,"cell communication",3,,0007154
PMC4204956,"signaling",3,,0023052
PMC4204956,"degradation",2,,0009056
PMC4204956,"gene expression",1,,0010467
PMC4204956,"extracellular",1,,0005576
PMC4204956,"sporulation",1,,0043934
PMC4204956,"biofilm formation",1,,0042710
PMC4204956,"synthesis",1,,0009058
PMC4204956,"host",1,,0018995
PMC4204956,"pathogenesis",1,,0009405
PMC4204956,"antibodies",1,,0042571
PMC4204956,"binding",1,,0005488
PMC4206695,"Synthesis",15,,0009058
PMC4209970,"hosts",5,,0018995
PMC4209970,"behavior",4,,0007610
PMC4209970,"mating",2,,0007618
PMC4209970,"oviposition",2,,0018991
PMC4209970,"action potential",1,,0001508
PMC4220615,"cells",419,,0005623
PMC4220615,"cell cycle arrest",34,,0007050
PMC4220615,"growth",15,,0040007
PMC4220615,"antioxidant activity",11,,0016209
PMC4220615,"cell proliferation",8,,0008283
PMC4220615,"cell death",7,,0008219
PMC4220615,"signaling",6,,0023052
PMC4220615,"synthesis",6,,0009058
PMC4220615,"detoxification",5,,0098754
PMC4220615,"deaths",4,,0016265
PMC4220615,"angiogenesis",4,,0001525
PMC4220615,"prenylation",4,,0097354
PMC4220615,"cell growth",3,,0016049
PMC4220615,"binding",3,,0005488
PMC4220615,"gap junction",3,,0005921
PMC4220615,"protein prenylation",3,,0018342
PMC4220615,"proteasome",2,,0000502
PMC4220615,"spindle",2,,0005819
PMC4220615,"phosphorylation",2,,0016310
PMC4220615,"crown",2,,0070685
PMC4220615,"membrane",2,,0016020
PMC4220615,"telomerase activity",2,,0003720
PMC4220615,"lipid metabolism",2,,0006629
PMC4220615,"cell differentiation",2,,0030154
PMC4220615,"gene expression",2,,0010467
PMC4220615,"metabolism",1,,0008152
PMC4220615,"uptake",1,,0098657
PMC4220615,"G1 phase",1,,0051318
PMC4220615,"cellular metabolism",1,,0044237
PMC4220615,"translation",1,,0006412
PMC4220615,"degradation",1,,0009056
PMC4220615,"cholesterol synthesis",1,,0006695
PMC4220615,"pathogenesis",1,,0009405
PMC4220615,"cell cycle",1,,0007049
PMC4220615,"polyamine biosynthesis",1,,0006596
PMC4220615,"mitochondrial membrane depolarization",1,,0051882
PMC4220615,"cell-cycle checkpoints",1,,0000075
PMC4220615,"ubiquinone synthesis",1,,0006744
PMC4224956,"vesicles",12,,0031982
PMC4224956,"mating",7,,0007618
PMC4224956,"spermatogenesis",7,,0007283
PMC4224956,"sperm motility",6,,0030317
PMC4224956,"cells",5,,0005623
PMC4224956,"crown",4,,0070685
PMC4224956,"growth",3,,0040007
PMC4224956,"secretion",3,,0046903
PMC4224956,"antioxidant activity",1,,0016209
PMC4224956,"proestrus",1,,0060208
PMC4232691,"synthesis",16,,0009058
PMC4232691,"cell",10,,0005623
PMC4232691,"Plastids",9,,0009536
PMC4232691,"cell wall",5,,0005618
PMC4232691,"localization",5,,0051179
PMC4232691,"terpene metabolism",3,,0042214
PMC4232691,"secretion",3,,0046903
PMC4232691,"secondary metabolism",2,,0019748
PMC4232691,"terpene biosynthesis",2,,0046246
PMC4232691,"transport",2,,0006810
PMC4232691,"starch biosynthesis",2,,0019252
PMC4232691,"cytoplasm",2,,0005737
PMC4232691,"gene expression",2,,0010467
PMC4232691,"growth",2,,0040007
PMC4232691,"monoterpene biosynthesis",1,,0043693
PMC4232691,"binding",1,,0005488
PMC4232691,"intracellular transport",1,,0046907
PMC4232691,"cell wall modification",1,,0042545
PMC4232691,"ribosome biogenesis",1,,0042254
PMC4232691,"ribosome",1,,0005840
PMC4232691,"translation",1,,0006412
PMC4232691,"tricarboxylic acid cycle",1,,0006099
PMC4232691,"fatty acid synthesis",1,,0006633
PMC4232691,"photosynthesis",1,,0015979
PMC4232691,"chlorophyll biosynthesis",1,,0015995
PMC4232691,"sucrose catabolism",1,,0005987
PMC4232691,"chloroplasts",1,,0009507
PMC4232691,"oxidative pentose phosphate pathway",1,,0009051
PMC4232691,"Phosphoenolpyruvate/phosphate translocator",1,,0015121
PMC4232691,"oxidative phosphorylation",1,,0006119
PMC4232691,"mitochondria",1,,0005739
PMC4232691,"enzyme activity",1,,0003824
PMC4232691,"embryogenesis",1,,0009790
PMC4232691,"sesquiterpene metabolism",1,,0051761
PMC4232691,"germplasm",1,,0060293
PMC4232691,"defense responses",1,,0006952
PMC4232691,"cellular localization",1,,0051641
PMC4232691,"reverse transcription",1,,0001171
PMC4232691,"geranyl diphosphate synthase",1,,0004161
PMC4293675,"synthesis",6,,0009058
PMC4293675,"cells",5,,0005623
PMC4293675,"fermentation",2,,0006113
PMC4293675,"catalytic activity",1,,0003824
PMC4293675,"glycosylation",1,,0070085
PMC4293675,"growth",1,,0040007
PMC4293675,"demethylation",1,,0070988
PMC4309438,"binding",56,,0005488
PMC4309438,"transduction",3,,0009293
PMC4309438,"mucus",3,,0070701
PMC4309438,"formation",3,,0009058
PMC4309438,"cells",2,,0005623
PMC4309438,"olfaction",1,,0007608
PMC4309438,"protein complex",1,,0043234
PMC4309438,"membrane",1,,0016020
PMC4309438,"digestion",1,,0007586
PMC4309438,"memory",1,,0007613
PMC4309438,"behaviour",1,,0007610
PMC4309438,"no binding",1,,0070026
PMC4309438,"protein binding",1,,0005515
PMC4311404,"formation",1,,0009058
PMC4311404,"cell growth",1,,0016049
PMC4311404,"growth",1,,0040007
PMC4311404,"cell",1,,0005623
PMC4311404,"conjugation",1,,0000746
PMC4311404,"antibodies",1,,0042571
PMC4311427,"binding",6,,0005488
PMC4311427,"oviposition",4,,0018991
PMC4311427,"aging",4,,0007568
PMC4311427,"hosts",3,,0018995
PMC4311427,"olfaction",3,,0007608
PMC4311427,"metabolic process",3,,0008152
PMC4311427,"behavior",3,,0007610
PMC4311427,"metamorphosis",2,,0007552
PMC4311427,"pollination",2,,0009856
PMC4311427,"Signal transduction",2,,0007165
PMC4311427,"uptake",2,,0098657
PMC4311427,"copulation",2,,0007620
PMC4311427,"odorant-binding",1,,0005549
PMC4311427,"immune response",1,,0006955
PMC4311427,"cellular process",1,,0009987
PMC4311427,"single-organism process",1,,0044699
PMC4311427,"biological regulation",1,,0065007
PMC4311427,"cell",1,,0005623
PMC4311427,"cell part",1,,0044464
PMC4311427,"organelle",1,,0043226
PMC4311427,"membrane",1,,0016020
PMC4311427,"catalytic activity",1,,0003824
PMC4311427,"translation",1,,0006412
PMC4311427,"transport",1,,0006810
PMC4311427,"catabolism",1,,0009056
PMC4311427,"synaptic transmission",1,,0007268
PMC4311427,"mating",1,,0007618
PMC4311427,"localization",1,,0051179
PMC4311427,"mating behavior",1,,0007617
PMC4311427,"growth",1,,0040007
PMC4311427,"feeding behavior",1,,0007631
PMC4311427,"Synthesis",1,,0009058
PMC4319901,"Cell",13,,0005623
PMC4319901,"death",3,,0016265
PMC4319901,"Androstenedione",1,,1903449
PMC4319901,"Yolk",1,,0060417
PMC4319901,"learning",1,,0007612
PMC4319901,"detoxification",1,,0098754
PMC4322175,"cells",20,,0005623
PMC4322175,"estrous cycles",12,,0044849
PMC4322175,"cytoplasm",6,,0005737
PMC4322175,"mating",5,,0007618
PMC4322175,"diestrus",5,,0060207
PMC4322175,"estrus",4,,0060209
PMC4322175,"endoplasmic reticulum",4,,0005783
PMC4322175,"crown",3,,0070685
PMC4322175,"proestrus",3,,0060208
PMC4322175,"mitochondria",3,,0005739
PMC4322175,"binding",3,,0005488
PMC4322175,"cell membrane",2,,0005886
PMC4322175,"cortical granules",2,,0060473
PMC4322175,"secretion",2,,0046903
PMC4322175,"fertilization",2,,0009566
PMC4322175,"spermatogenesis",1,,0007283
PMC4322175,"smooth endoplasmic reticulum",1,,0005790
PMC4322175,"rough endoplasmic reticulum",1,,0005791
PMC4322175,"vacuoles",1,,0005773
PMC4322175,"membrane",1,,0016020
PMC4322175,"Nucleus",1,,0005634
PMC4322175,"Nucleolus",1,,0005730
PMC4322175,"progesterone secretion",1,,0042701
PMC4322175,"synthesis",1,,0009058
PMC4322175,"metabolism",1,,0008152
PMC4322175,"oocyte maturation",1,,0001556
PMC4322175,"transport",1,,0006810
PMC4322175,"organelles",1,,0043226
PMC4322175,"growth",1,,0040007
PMC4327056,"fruit development",5,,0010154
PMC4327056,"fertilizations",4,,0009566
PMC4327056,"fruit ripening",2,,0009835
PMC4327056,"cell",1,,0005623
PMC4327056,"biosynthesis",1,,0009058
PMC4327056,"oil bodies",1,,0012511
PMC4327056,"behavior",1,,0007610
PMC4327056,"vision",1,,0007601
PMC4327056,"learning",1,,0007612
PMC4327056,"growth",1,,0040007
PMC4327928,"binding",18,,0005488
PMC4327928,"enzyme activity",4,,0003824
PMC4327928,"formation",3,,0009058
PMC4327928,"growth",2,,0040007
PMC4327928,"protein folding",1,,0006457
PMC4327928,"protein unfolding",1,,0043335
PMC4327928,"cell",1,,0005623
PMC4339706,"Biofilm Formation",22,,0042710
PMC4339706,"growth",15,,0040007
PMC4339706,"gene expression",6,,0010467
PMC4339706,"formation",5,,0009058
PMC4339706,"cells",3,,0005623
PMC4339706,"extracellular",2,,0005576
PMC4339706,"binding",2,,0005488
PMC4339706,"carbohydrate metabolism",1,,0005975
PMC4339706,"membrane",1,,0016020
PMC4339706,"pore",1,,0046930
PMC4339706,"cell surface",1,,0009986
PMC4339706,"glucose uptake",1,,0046323
PMC4344607,"biosynthesis",55,,0009058
PMC4344607,"cell",13,,0005623
PMC4344607,"chloroplasts",11,,0009507
PMC4344607,"vesicles",7,,0031982
PMC4344607,"growth",3,,0040007
PMC4344607,"cell periphery",2,,0071944
PMC4344607,"metal-binding",2,,0046872
PMC4344607,"intracellular",2,,0005622
PMC4344607,"membrane",2,,0016020
PMC4344607,"cytoplasm",2,,0005737
PMC4344607,"organelle",2,,0043226
PMC4344607,"microfilaments",1,,0005884
PMC4344607,"microtubules",1,,0005874
PMC4344607,"exocytosis",1,,0006887
PMC4344607,"vesicle transport",1,,0016192
PMC4344607,"cell surface",1,,0009986
PMC4344607,"plastoglobules",1,,0010287
PMC4344607,"triterpenoid biosynthesis",1,,0016104
PMC4344607,"Golgi apparatus",1,,0005794
PMC4344607,"secondary metabolism",1,,0019748
PMC4344607,"signaling",1,,0023052
PMC4344607,"localization",1,,0051179
PMC4344607,"fermentation",1,,0006113
PMC4346696,"cells",11,,0005623
PMC4346696,"immune response",10,,0006955
PMC4346696,"host",10,,0018995
PMC4346696,"growth",5,,0040007
PMC4346696,"death",3,,0016265
PMC4346696,"schizogony",2,,0020014
PMC4346696,"sporulation",2,,0043934
PMC4346696,"cell membrane",2,,0005886
PMC4346696,"transport",2,,0006810
PMC4346696,"fermentation",2,,0006113
PMC4346696,"excretions",2,,0007588
PMC4346696,"intracellular",1,,0005622
PMC4346696,"organelles",1,,0043226
PMC4346696,"apical complex",1,,0020007
PMC4346696,"micronemes",1,,0020009
PMC4346696,"rhoptries",1,,0020008
PMC4346696,"conoid",1,,0020010
PMC4346696,"host invasion",1,,0044409
PMC4346696,"host cell invasion",1,,0030260
PMC4346696,"asexual reproduction",1,,0019954
PMC4346696,"fertilization",1,,0009566
PMC4346696,"cell cycle",1,,0007049
PMC4346696,"degradation",1,,0009056
PMC4346696,"cytoplasm",1,,0005737
PMC4346696,"uptake",1,,0098657
PMC4346696,"cellular respiration",1,,0045333
PMC4346696,"mitochondrion",1,,0005739
PMC4346696,"antioxidant activities",1,,0016209
PMC4346696,"cell proliferation",1,,0008283
PMC4346696,"lymphocyte proliferation",1,,0046651
PMC4346696,"oxidative bursts",1,,0045730
PMC4346696,"cytokine production",1,,0001816
PMC4346696,"Mucus",1,,0070701
PMC4346696,"cell walls",1,,0005618
PMC4353025,"Synthesis",50,,0009058
PMC4353025,"binding",5,,0005488
PMC4353025,"intracellular",2,,0005622
PMC4353025,"extracellular",1,,0005576
PMC4353025,"membrane",1,,0016020
PMC4353025,"sarcoplasmic reticulum",1,,0016529
PMC4353025,"glycosylation",1,,0070085
PMC4353025,"conjugation",1,,0000746
PMC4353025,"cells",1,,0005623
PMC4355985,"chromosome",2,,0005694
PMC4355985,"behavior",1,,0007610
PMC4355985,"mucous",1,,0070701
PMC4355985,"membranes",1,,0016020
PMC4355985,"synthesis",1,,0009058
PMC4356138,"synthesis",21,,0009058
PMC4356138,"plastid",7,,0009536
PMC4356138,"starch metabolism",4,,0005982
PMC4356138,"metabolism",4,,0008152
PMC4356138,"cytosol",4,,0005829
PMC4356138,"membrane",3,,0016020
PMC4356138,"fruit ripening",3,,0009835
PMC4356138,"gene expression",2,,0010467
PMC4356138,"citric acid cycle",2,,0006099
PMC4356138,"secondary metabolism",1,,0019748
PMC4356138,"terpenoid biosynthesis",1,,0016114
PMC4356138,"glutamate synthesis",1,,0006537
PMC4356138,"binding",1,,0005488
PMC4356138,"translation elongation",1,,0006414
PMC4356138,"terpene synthesis",1,,0046246
PMC4356138,"lipid metabolism",1,,0006629
PMC4356138,"carbohydrate metabolism",1,,0005975
PMC4356138,"cytoplasm",1,,0005737
PMC4356138,"cell wall",1,,0005618
PMC4356138,"degradation",1,,0009056
PMC4356138,"cells",1,,0005623
PMC4356138,"ascorbate-glutathione cycle",1,,0033355
PMC4356138,"enzyme activity",1,,0003824
PMC4356138,"transport",1,,0006810
PMC4356138,"pigmentation",1,,0043473
PMC4356138,"protein digestion",1,,0044256
PMC4356138,"reverse transcription",1,,0001171
PMC4359887,"Cell",20,,0005623
PMC4359887,"growth",5,,0040007
PMC4359887,"intracellular",1,,0005622
PMC4371224,"cells",17,,0005623
PMC4371224,"growth",2,,0040007
PMC4371224,"death",2,,0016265
PMC4371224,"plasma membrane",2,,0005886
PMC4371224,"membranes",2,,0016020
PMC4371224,"synthesis",2,,0009058
PMC4371224,"host cell",1,,0043657
PMC4371224,"cell death",1,,0008219
PMC4371224,"demethylation",1,,0070988
PMC4371224,"phospholipid metabolism",1,,0006644
PMC4371224,"host cell membrane",1,,0033644
PMC4371224,"intracellular",1,,0005622
PMC4372811,"cells",59,,0005623
PMC4372811,"signaling",14,,0023052
PMC4372811,"antibody",7,,0042571
PMC4372811,"binding",6,,0005488
PMC4372811,"intracellular",5,,0005622
PMC4372811,"dendritic knobs",3,,0098788
PMC4372811,"bioluminescence",3,,0008218
PMC4372811,"mucus",2,,0070701
PMC4372811,"nerve endings",2,,0043679
PMC4372811,"transduction",2,,0009293
PMC4372811,"phosphorylation",1,,0016310
PMC4372811,"secretion",1,,0046903
PMC4372811,"Odorant Receptor Activity",1,,0004984
PMC4372811,"behaviors",1,,0007610
PMC4372811,"signal transduction",1,,0007165
PMC4372811,"mating",1,,0007618
PMC4372811,"action potentials",1,,0001508
PMC4372811,"innervation",1,,0060384
PMC4372811,"sensory processing",1,,0050893
PMC4372811,"endoplasmic reticulum",1,,0005783
PMC4372811,"cell-surface",1,,0009986
PMC4372811,"sense of smell",1,,0007608
PMC4387231,"cells",22,,0005623
PMC4387231,"formation",12,,0009058
PMC4387231,"capsule",3,,0042603
PMC4387231,"binding",3,,0005488
PMC4387231,"mitochondria",3,,0005739
PMC4387231,"blebs",3,,0032059
PMC4387231,"plasma membrane",3,,0005886
PMC4387231,"death",2,,0016265
PMC4387231,"lipogenesis",2,,0008610
PMC4387231,"gene expression",2,,0010467
PMC4387231,"intracellular",2,,0005622
PMC4387231,"vacuoles",2,,0005773
PMC4387231,"metabolism",1,,0008152
PMC4387231,"cell proliferation",1,,0008283
PMC4387231,"growth",1,,0040007
PMC4387231,"mitochondrial membrane",1,,0031966
PMC4387231,"pore",1,,0046930
PMC4387231,"intracellular organelles",1,,0043229
PMC4387231,"organelles",1,,0043226
PMC4387231,"protein oxidation",1,,0018158
PMC4387231,"endoplasmic reticulum",1,,0005783
PMC4387231,"signaling",1,,0023052
PMC4387231,"Inflammatory responses",1,,0006954
PMC4387231,"lysosome",1,,0005764
PMC4387231,"membrane",1,,0016020
PMC4387231,"apoptotic cell death",1,,0006915
PMC4387231,"pyknosis",1,,0030263
PMC4389268,"behavior",24,,0007610
PMC4389268,"cells",15,,0005623
PMC4389268,"signaling",8,,0023052
PMC4389268,"learning",6,,0007612
PMC4389268,"nucleus",5,,0005634
PMC4389268,"extracellular",3,,0005576
PMC4389268,"antibody",2,,0042571
PMC4389268,"classical conditioning",1,,0008306
PMC4389268,"dendrites",1,,0030425
PMC4389268,"cell bodies",1,,0044297
PMC4389268,"Hood",1,,1990343
PMC4389412,"growth",3,,0040007
PMC4389412,"sporulation",2,,0043934
PMC4395931,"taste",4,,0050909
PMC4395931,"digestion",2,,0007586
PMC4395931,"synthesis",1,,0009058
PMC4395931,"growth",1,,0040007
PMC4398050,"Olfactory Behavior",44,,0042048
PMC4398050,"signaling",10,,0023052
PMC4398050,"olfaction",4,,0007608
PMC4398050,"nervous system development",3,,0007399
PMC4398050,"axon guidance",3,,0007411
PMC4398050,"behavior",2,,0007610
PMC4398050,"chemosensory behavior",2,,0007635
PMC4398050,"courtship behavior",2,,0007619
PMC4398050,"olfactory learning",2,,0008355
PMC4398050,"gene expression",2,,0010467
PMC4398050,"mating",1,,0007618
PMC4398050,"reproduction",1,,0000003
PMC4398050,"gustatory receptors",1,,0008527
PMC4398050,"gene silencing",1,,0016458
PMC4398050,"taste perception",1,,0050909
PMC4398050,"metabolism",1,,0008152
PMC4398050,"memory",1,,0007613
PMC4398050,"formation",1,,0009058
PMC4405290,"formation",4,,0009058
PMC4405290,"behaviour",1,,0007610
PMC4405290,"cell",1,,0005623
PMC4405290,"fatty acid metabolism",1,,0006631
PMC4408633,"hatching",1,,0035188
PMC4408633,"larval development",1,,0002164
PMC4408633,"metabolism",1,,0008152
PMC4408633,"death",1,,0016265
PMC4412152,"cells",8,,0005623
PMC4412152,"olfaction",2,,0007608
PMC4412152,"taste",2,,0050909
